ticker_ishares,place,ticker,nom_yahoo,statut
JYSK,Omx Nordic Exchange Copenhagen A/S,JYSK.CO,Jyske Bank A/S,vérifié
SPX,London Stock Exchange,SPX.L,Spirax Group plc,vérifié
BAB,London Stock Exchange,BAB.L,Babcock International Group PLC,vérifié
SSAB B,Nasdaq Omx Nordic,SSAB-B.ST,SSAB AB (publ),vérifié
SRT3,Xetra,SRT3.DE,Sartorius Aktiengesellschaft,vérifié
ELISA,Nasdaq Omx Helsinki Ltd.,ELISA.HE,Elisa Oyj,vérifié
IPN,Nyse Euronext - Euronext Paris,IPN.PA,Ipsen S.A.,vérifié
RNO,Nyse Euronext - Euronext Paris,RNO.PA,Renault SA,vérifié
REC,Borsa Italiana,REC.MI,Recordati Industria Chimica e Farmaceutica S.p.A.,vérifié
SPM,Borsa Italiana,SPM.MI,Saipem SpA,vérifié
EMSN,SIX Swiss Exchange,EMSN.SW,EMS-CHEMIE HOLDING AG,vérifié
G24,Xetra,G24.DE,Scout24 SE,vérifié
INDT,Nasdaq Omx Nordic,INDT.ST,Indutrade AB (publ),vérifié
ALO,Nyse Euronext - Euronext Paris,ALO.PA,Alstom SA,vérifié
GBLB,Nyse Euronext - Euronext Brussels,GBLB.BR,Groupe Bruxelles Lambert SA,vérifié
UHR,SIX Swiss Exchange,UHR.SW,The Swatch Group AG,vérifié
SYENS,Nyse Euronext - Euronext Brussels,SYENS.BR,Syensqo SA/NV,vérifié
IMCD,Euronext Amsterdam,IMCD.AS,IMCD N.V.,vérifié
AMUN,Nyse Euronext - Euronext Paris,AMUN.PA,Amundi S.A.,vérifié
AM,Nyse Euronext - Euronext Paris,AM.PA,Dassault Aviation société anonyme,vérifié
LAND,London Stock Exchange,LAND.L,Land Securities Group Plc,vérifié
BGEO,London Stock Exchange,BGEO.L,Lion Finance Group PLC,vérifié
NEX,Nyse Euronext - Euronext Paris,NEX.PA,Nexans S.A.,vérifié
DIM,Nyse Euronext - Euronext Paris,DIM.PA,Sartorius Stedim Biotech S.A.,vérifié
GET,Nyse Euronext - Euronext Paris,GET.PA,Getlink SE,vérifié
ISS,Omx Nordic Exchange Copenhagen A/S,ISS.CO,ISS A/S,vérifié
NIBE B,Nasdaq Omx Nordic,NIBE-B.ST,NIBE Industrier AB (publ),vérifié
IGG,London Stock Exchange,IGG.L,IG Group Holdings plc,vérifié
BBY,London Stock Exchange,BBY.L,Balfour Beatty plc,vérifié
IG,Borsa Italiana,IG.MI,Italgas S.p.A.,vérifié
ANDR,Wiener Boerse Ag,ANDR.VI,Andritz AG,vérifié
SAVE,Nasdaq Omx Nordic,SAVE.ST,Nordnet AB (publ),vérifié
MRL,Bolsa De Madrid,MRL.MC,"MERLIN Properties SOCIMI, S.A.",vérifié
VOE,Wiener Boerse Ag,VOE.VI,Voestalpine AG,vérifié
ZAL,Xetra,ZAL.DE,Zalando SE,vérifié
BTRW,London Stock Exchange,BTRW.L,Barratt Redrow plc,vérifié
SCR,Nyse Euronext - Euronext Paris,SCR.PA,SCOR SE,vérifié
LOTB,Nyse Euronext - Euronext Brussels,LOTB.BR,Lotus Bakeries NV,vérifié
JMT,Nyse Euronext - Euronext Lisbon,JMT.LS,"Jerónimo Martins, SGPS, S.A.",vérifié
GJF,Oslo Bors Asa,GJF.OL,Gjensidige Forsikring ASA,vérifié
SQN,SIX Swiss Exchange,SQN.SW,Swissquote Group Holding SA,vérifié
ANA,Bolsa De Madrid,ANA.MC,"Acciona, S.A.",vérifié
BMED,Borsa Italiana,BMED.MI,Banca Mediolanum S.p.A.,vérifié
AUTO,London Stock Exchange,AUTO.L,Autotrader Group plc,vérifié
CTEC,London Stock Exchange,CTEC.L,Convatec Group PLC,vérifié
ABDN,London Stock Exchange,ABDN.L,Aberdeen Group Plc,vérifié
SB1NO,Oslo Bors Asa,SB1NO.OL,SpareBank 1 Sør-Norge ASA,vérifié
BEIJ B,Nasdaq Omx Nordic,BEIJ-B.ST,Beijer Ref AB (publ),vérifié
EVK,Xetra,EVK.DE,Evonik Industries AG,vérifié
P911,Xetra,P911.DE,Dr. Ing. h.c. F. Porsche AG,vérifié
SBMO,Euronext Amsterdam,SBMO.AS,SBM Offshore N.V.,vérifié
BLND,London Stock Exchange,BLND.L,British Land Company PLC,vérifié
PAH3,Xetra,PAH3.DE,Porsche Automobil Holding SE,vérifié
NDX1,Xetra,NDX1.DE,Nordex SE,vérifié
HWDN,London Stock Exchange,HWDN.L,Howden Joinery Group Plc,vérifié
SW,Nyse Euronext - Euronext Paris,SW.PA,Sodexo S.A.,vérifié
LHA,Xetra,LHA.DE,Deutsche Lufthansa AG,vérifié
WTB,London Stock Exchange,WTB.L,Whitbread plc,vérifié
LMP,London Stock Exchange,LMP.L,LondonMetric Property Plc,vérifié
WDP,Nyse Euronext - Euronext Brussels,WDP.BR,Warehouses De Pauw SA,vérifié
CRDA,London Stock Exchange,CRDA.L,Croda International Plc,vérifié
GETI B,Nasdaq Omx Nordic,GETI-B.ST,Getinge AB (publ),vérifié
TPRO,Borsa Italiana,TPRO.MI,Technoprobe S.p.A.,vérifié
WPP,London Stock Exchange,WPP.L,WPP plc,vérifié
UMI,Nyse Euronext - Euronext Brussels,UMI.BR,Umicore SA,vérifié
HAG,Xetra,HAG.DE,Hensoldt AG,vérifié
RMV,London Stock Exchange,RMV.L,Rightmove plc,vérifié
VAR,Oslo Bors Asa,VAR.OL,Vår Energi ASA,vérifié
MBK,Warsaw Stock Exchange/Equities/Main Market,MBK.WA,mBank S.A.,vérifié
GALE,SIX Swiss Exchange,GALE.SW,Galenica AG,vérifié
EMG,London Stock Exchange,EMG.L,Man Group Plc,vérifié
AZA,Nasdaq Omx Nordic,AZA.ST,Avanza Bank Holding AB (publ),vérifié
ROR,London Stock Exchange,ROR.L,Rotork plc,vérifié
NDA,Xetra,NDA.DE,Aurubis AG,vérifié
RED,Bolsa De Madrid,RED.MC,"Redeia Corporación, S.A.",vérifié
SOF,Nyse Euronext - Euronext Brussels,SOF.BR,Sofina Société Anonyme,vérifié
PSN,London Stock Exchange,PSN.L,Persimmon Plc,vérifié
AVOL,SIX Swiss Exchange,AVOL.SW,Avolta AG,vérifié
BRBY,London Stock Exchange,BRBY.L,Burberry Group plc,vérifié
UNI,Bolsa De Madrid,UNI.MC,"Unicaja Banco, S.A.",vérifié
VALMT,Nasdaq Omx Helsinki Ltd.,VALMT.HE,Valmet Oyj,vérifié
FHZN,SIX Swiss Exchange,FHZN.SW,Flughafen Zürich AG,vérifié
INVP,London Stock Exchange,INVP.L,Investec Group,vérifié
CAST,Nasdaq Omx Nordic,CAST.ST,Castellum AB (publ),vérifié
GF,SIX Swiss Exchange,GF.SW,Georg Fischer AG,vérifié
DIE,Nyse Euronext - Euronext Brussels,DIE.BR,D'Ieteren Group SA,vérifié
AZM,Borsa Italiana,AZM.MI,Azimut Holding S.p.A.,vérifié
VER,Wiener Boerse Ag,VER.VI,VERBUND AG,vérifié
ADEN,SIX Swiss Exchange,ADEN.SW,Adecco Group AG,vérifié
LUND B,Nasdaq Omx Nordic,LUND-B.ST,L E Lundbergföretagen AB (publ),vérifié
SOI,Nyse Euronext - Euronext Paris,SOI.PA,Soitec SA,vérifié
BARN,SIX Swiss Exchange,BARN.SW,Barry Callebaut AG,vérifié
BCVN,SIX Swiss Exchange,BCVN.SW,Banque Cantonale Vaudoise,vérifié
MYCR,Nasdaq Omx Nordic,MYCR.ST,Mycronic AB (publ),vérifié
AKE,Nyse Euronext - Euronext Paris,AKE.PA,Arkema S.A.,vérifié
ZAB,Warsaw Stock Exchange/Equities/Main Market,ZAB.WA,Zabka Group S.A.,vérifié
MAP,Bolsa De Madrid,MAP.MC,"Mapfre, S.A.",vérifié
SIGN,SIX Swiss Exchange,SIGN.SW,SIG Group AG,vérifié
INPST,Euronext Amsterdam,INPST.AS,InPost S.A.,vérifié
TE,Nyse Euronext - Euronext Paris,TE.PA,Technip Energies N.V.,vérifié
ZEG,London Stock Exchange,ZEG.L,Zegona Communications plc,vérifié
ATS,Wiener Boerse Ag,ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,vérifié
SECT B,Nasdaq Omx Nordic,SECT-B.ST,Sectra AB (publ),vérifié
ELIS,Nyse Euronext - Euronext Paris,ELIS.PA,Elis SA,vérifié
CCC,London Stock Exchange,CCC.L,Computacenter plc,vérifié
GL9,Irish Stock Exchange - All Market,GL9.IR,Glanbia plc,vérifié
BKG,London Stock Exchange,BKG.L,The Berkeley Group Holdings plc,vérifié
EDPR,Nyse Euronext - Euronext Lisbon,EDPR.LS,"EDP Renewables, S.A.",vérifié
DNP,Warsaw Stock Exchange/Equities/Main Market,DNP.WA,Dino Polska S.A.,vérifié
AYV,Nyse Euronext - Euronext Paris,AYV.PA,Ayvens,vérifié
AIXA,Xetra,AIXA.DE,AIXTRON SE,vérifié
A2A,Borsa Italiana,A2A.MI,A2A S.p.A.,vérifié
AALB,Euronext Amsterdam,AALB.AS,Aalberts N.V.,vérifié
LEG,Xetra,LEG.DE,LEG Immobilien SE,vérifié
SALM,Oslo Bors Asa,SALM.OL,SalMar ASA,vérifié
ENG,Bolsa De Madrid,ENG.MC,"Enagás, S.A.",vérifié
RAND,Euronext Amsterdam,RAND.AS,Randstad N.V.,vérifié
NEM,Xetra,NEM.DE,Nemetschek SE,vérifié
FLS,Omx Nordic Exchange Copenhagen A/S,FLS.CO,FLSmidth & Co. A/S,vérifié
TEMN,SIX Swiss Exchange,TEMN.SW,Temenos AG,vérifié
INCH,London Stock Exchange,INCH.L,Inchcape plc,vérifié
BGN,Borsa Italiana,BGN.MI,Banca Generali S.p.A.,vérifié
DEMANT,Omx Nordic Exchange Copenhagen A/S,DEMANT.CO,Demant A/S,vérifié
MNDI,London Stock Exchange,MNDI.L,Mondi plc,vérifié
BBOX,London Stock Exchange,BBOX.L,Tritax Big Box Ord,vérifié
RS1,London Stock Exchange,RS1.L,RS Group plc,vérifié
VEND,Oslo Bors Asa,VEND.OL,Vend Marketplaces ASA,vérifié
TEP,Nyse Euronext - Euronext Paris,TEP.PA,Teleperformance SE,vérifié
GFC,Nyse Euronext - Euronext Paris,GFC.PA,Gecina,vérifié
TUB,Nyse Euronext - Euronext Brussels,TUB.BR,Financière de Tubize SA,vérifié
VK,Nyse Euronext - Euronext Paris,VK.PA,Vallourec S.A.,vérifié
LAGR B,Nasdaq Omx Nordic,LAGR-B.ST,Lagercrantz Group AB (publ),vérifié
CDR,Warsaw Stock Exchange/Equities/Main Market,CDR.WA,CD Projekt Red S.A.,vérifié
AKER,Oslo Bors Asa,AKER.OL,Aker ASA,vérifié
KBCA,Nyse Euronext - Euronext Brussels,KBCA.BR,KBC Ancora SA,vérifié
DRX,London Stock Exchange,DRX.L,Drax Group plc,vérifié
MANTA,Nasdaq Omx Helsinki Ltd.,MANTA.HE,Mandatum Oyj,vérifié
CPR,Borsa Italiana,CPR.MI,Davide Campari-Milano N.V.,vérifié
ENT,London Stock Exchange,ENT.L,Entain Plc,vérifié
BIM,Nyse Euronext - Euronext Paris,BIM.PA,bioMérieux S.A.,vérifié
ALLN,SIX Swiss Exchange,ALLN.SW,Allreal Holding AG,vérifié
OCTV SDB,Nasdaq Omx Nordic,OCTV-SDB.ST,Octave Intelligence plc,vérifié
R3NK,Xetra,R3NK.DE,RENK Group AG,vérifié
CVC,Euronext Amsterdam,CVC.AS,CVC Capital Partners plc,vérifié
ING,Warsaw Stock Exchange/Equities/Main Market,ING.WA,ING Bank Slaski S.A.,vérifié
EVD,Xetra,EVD.DE,CTS Eventim AG & Co. KGaA,vérifié
SRP,London Stock Exchange,SRP.L,Serco Group plc,vérifié
BFT,Warsaw Stock Exchange/Equities/Main Market,BFT.WA,Benefit Systems S.A.,vérifié
ALK B,Omx Nordic Exchange Copenhagen A/S,ALK-B.CO,ALK-Abelló A/S,vérifié
LOOMIS,Nasdaq Omx Nordic,LOOMIS.ST,Loomis AB (publ),vérifié
JMAT,London Stock Exchange,JMAT.L,Johnson Matthey Plc,vérifié
TW.,London Stock Exchange,TW.L,Taylor Wimpey plc,vérifié
BZU,Borsa Italiana,BZU.MI,Buzzi S.p.A.,vérifié
AAK,Nasdaq Omx Nordic,AAK.ST,AAK AB (publ.),vérifié
SAGA B,Nasdaq Omx Nordic,SAGA-B.ST,AB Sagax (publ),vérifié
ARCAD,Euronext Amsterdam,ARCAD.AS,Arcadis NV,vérifié
FNTN,Xetra,FNTN.DE,freenet AG,vérifié
MIL,Warsaw Stock Exchange/Equities/Main Market,MIL.WA,Bank Millennium S.A.,vérifié
RUI,Nyse Euronext - Euronext Paris,RUI.PA,Rubis,vérifié
FR,Nyse Euronext - Euronext Paris,FR.PA,Valeo SE,vérifié
KGX,Xetra,KGX.DE,KION GROUP AG,vérifié
RAA,Xetra,RAA.DE,RATIONAL Aktiengesellschaft,vérifié
HER,Borsa Italiana,HER.MI,Hera S.p.A.,vérifié
QQ.,London Stock Exchange,QQ.L,QinetiQ Group plc,vérifié
ITV,London Stock Exchange,ITV.L,ITV plc,vérifié
PIRC,Borsa Italiana,PIRC.MI,Pirelli & C. S.p.A.,vérifié
HUH1V,Nasdaq Omx Helsinki Ltd.,HUH1V.HE,Huhtamäki Oyj,vérifié
TCAP,London Stock Exchange,TCAP.L,TP ICAP Group PLC,vérifié
IP,Borsa Italiana,IP.MI,Interpump Group S.p.A.,vérifié
ACP,Warsaw Stock Exchange/Equities/Main Market,ACP.WA,Asseco Poland S.A.,vérifié
CWK,London Stock Exchange,CWK.L,Cranswick plc,vérifié
BALD B,Nasdaq Omx Nordic,BALD-B.ST,Fastighets AB Balder (publ),vérifié
SFZN,SIX Swiss Exchange,SFZN.SW,Siegfried Holding AG,vérifié
HUBN,SIX Swiss Exchange,HUBN.SW,Huber+Suhner AG,vérifié
BC8,Xetra,BC8.DE,Bechtle AG,vérifié
PLUS,London Stock Exchange,PLUS.L,Plus500 Ltd.,vérifié
GRF,Bolsa De Madrid,GRF.MC,"Grifols, S.A.",vérifié
ACX,Bolsa De Madrid,ACX.MC,"Acerinox, S.A.",vérifié
BAMNB,Euronext Amsterdam,BAMNB.AS,Koninklijke BAM Groep nv,vérifié
ADP,Nyse Euronext - Euronext Paris,ADP.PA,Aeroports de Paris SA,vérifié
AAF,London Stock Exchange,AAF.L,Airtel Africa Plc,vérifié
TUI1,Xetra,TUI1.DE,TUI AG,vérifié
SUNN,SIX Swiss Exchange,SUNN.SW,Sunrise Communications AG,vérifié
SBNOR,Oslo Bors Asa,SBNOR.OL,Sparebanken Norge,vérifié
VSURE,Nasdaq Omx Nordic,VSURE.ST,Verisure plc,vérifié
BC,Borsa Italiana,BC.MI,Brunello Cucinelli S.p.A.,vérifié
MTO,London Stock Exchange,MTO.L,Mitie Group plc,vérifié
HIK,London Stock Exchange,HIK.L,Hikma Pharmaceuticals PLC,vérifié
NEXI,Borsa Italiana,NEXI.MI,Nexi S.p.A.,vérifié
TBCG,London Stock Exchange,TBCG.L,TBC Bank Group PLC,vérifié
TGS,Oslo Bors Asa,TGS.OL,TGS ASA,vérifié
REY,Borsa Italiana,REY.MI,Reply S.p.A.,vérifié
NOD,Oslo Bors Asa,NOD.OL,Nordic Semiconductor ASA,vérifié
UTG,London Stock Exchange,UTG.L,Unite Group PLC,vérifié
BWY,London Stock Exchange,BWY.L,Bellway p.l.c.,vérifié
PNN,London Stock Exchange,PNN.L,Pennon Group Plc,vérifié
BKW,SIX Swiss Exchange,BKW.SW,BKW AG,vérifié
SDF,Xetra,SDF.DE,K+S Aktiengesellschaft,vérifié
IFCN,SIX Swiss Exchange,IFCN.SW,INFICON Holding AG,vérifié
BOL,Nyse Euronext - Euronext Paris,BOL.PA,Bolloré SE,vérifié
AG1,Xetra,AG1.DE,AUTO1 Group SE,vérifié
IVG,Borsa Italiana,IVG.MI,Iveco Group N.V.,vérifié
VZN,SIX Swiss Exchange,VZN.SW,VZ Holding AG,vérifié
VPK,Euronext Amsterdam,VPK.AS,Koninklijke Vopak N.V.,vérifié
ALLFG,Euronext Amsterdam,ALLFG.AS,Allfunds Group plc,vérifié
SUN,SIX Swiss Exchange,SUN.SW,Sulzer AG,vérifié
DLG,Borsa Italiana,DLG.MI,De'Longhi S.p.A.,vérifié
FDJU,Nyse Euronext - Euronext Paris,FDJU.PA,FDJ United,vérifié
MOBN,SIX Swiss Exchange,MOBN.SW,Mobimo Holding AG,vérifié
FPE3,Xetra,FPE3.DE,Fuchs SE,vérifié
LATO B,Nasdaq Omx Nordic,LATO-B.ST,Investment AB Latour (publ),vérifié
RBREW,Omx Nordic Exchange Copenhagen A/S,RBREW.CO,Royal Unibrew A/S,vérifié
VATN,SIX Swiss Exchange,VATN.SW,Valiant Holding AG,vérifié
COV,Nyse Euronext - Euronext Paris,COV.PA,Covivio,vérifié
CMBN,SIX Swiss Exchange,CMBN.SW,Cembra Money Bank AG,vérifié
FTK,Xetra,FTK.DE,flatexDEGIRO SE,vérifié
SCYR,Bolsa De Madrid,SCYR.MC,"Sacyr, S.A.",vérifié
COTN,SIX Swiss Exchange,COTN.SW,Comet Holding AG,vérifié
SWEC B,Nasdaq Omx Nordic,SWEC-B.ST,Sweco AB (publ),vérifié
KMAR,Oslo Bors Asa,KMAR.OL,Kongsberg Maritime ASA,vérifié
HOLM B,Nasdaq Omx Nordic,HOLM-B.ST,Holmen AB (publ),vérifié
VIS,Bolsa De Madrid,VIS.MC,"Viscofan, S.A.",vérifié
SHC,London Stock Exchange,SHC.L,Shaftesbury Capital PLC,vérifié
CSG,Euronext Amsterdam,CSG.AS,CSG N.V.,vérifié
SFSN,SIX Swiss Exchange,SFSN.SW,SFS Group AG,vérifié
GBF,Xetra,GBF.DE,Bilfinger SE,vérifié
PHP,London Stock Exchange,PHP.L,Primary Health Properties Plc,vérifié
QLT,London Stock Exchange,QLT.L,Quilter plc,vérifié
TEG,Xetra,TEG.DE,TAG Immobilien AG,vérifié
HIAB,Nasdaq Omx Helsinki Ltd.,HIAB.HE,Hiab Oyj,vérifié
TOM,Oslo Bors Asa,TOM.OL,Tomra Systems ASA,vérifié
PUM,Xetra,PUM.DE,PUMA SE,vérifié
ROCK B,Omx Nordic Exchange Copenhagen A/S,ROCK-B.CO,Rockwool A/S,vérifié
SOP,Nyse Euronext - Euronext Paris,SOP.PA,Sopra Steria Group SA,vérifié
WIE,Wiener Boerse Ag,WIE.VI,Wienerberger AG,vérifié
ZEAL,Omx Nordic Exchange Copenhagen A/S,ZEAL.CO,Zealand Pharma A/S,vérifié
TPE,Warsaw Stock Exchange/Equities/Main Market,TPE.WA,TAURON Polska Energia S.A.,vérifié
PUIG,Bolsa De Madrid,PUIG.MC,"Puig Brands, S.A.",vérifié
DKSH,SIX Swiss Exchange,DKSH.SW,DKSH Holding AG,vérifié
PAF,London Stock Exchange,PAF.L,Pan African Resources PLC,vérifié
BPT,London Stock Exchange,BPT.L,Bridgepoint Group plc,vérifié
JD.,London Stock Exchange,JD.L,JD Sports Fashion Plc,vérifié
AXFO,Nasdaq Omx Nordic,AXFO.ST,Axfood AB (publ),vérifié
FRA,Xetra,FRA.DE,Fraport AG,vérifié
KTY,Warsaw Stock Exchange/Equities/Main Market,KTY.WA,Grupa Kety S.A.,vérifié
HOC,London Stock Exchange,HOC.L,Hochschild Mining plc,vérifié
DLN,London Stock Exchange,DLN.L,Derwent London Plc,vérifié
KEMIRA,Nasdaq Omx Helsinki Ltd.,KEMIRA.HE,Kemira Oyj,vérifié
LIGHT,Euronext Amsterdam,LIGHT.AS,Signify N.V.,vérifié
THULE,Nasdaq Omx Nordic,THULE.ST,Thule Group AB (publ),vérifié
AMV0,Xetra,AMV0.DE,Aumovio SE,vérifié
BUCN,SIX Swiss Exchange,BUCN.SW,Bucher Industries AG,vérifié
BAKKA,Oslo Bors Asa,BAKKA.OL,P/F Bakkafrost,vérifié
WIHL,Nasdaq Omx Nordic,WIHL.ST,Wihlborgs Fastigheter AB (publ),vérifié
SESG,Nyse Euronext - Euronext Paris,SESG.PA,SES S.A.,vérifié
