ticker_ishares,place,ticker,nom_yahoo,statut
GLE,Nyse Euronext - Euronext Paris,GLE.PA,Société Générale Société anonyme,vérifié
REL,London Stock Exchange,REL.L,RELX PLC,vérifié
DHL,Xetra,DHL.DE,DHL AG,vérifié
ARGX,Nyse Euronext - Euronext Brussels,ARGX.BR,argenx SE,vérifié
DB1,Xetra,DB1.DE,Deutsche Börse AG,vérifié
AAL,London Stock Exchange,AAL.L,Anglo American plc,vérifié
G,Borsa Italiana,G.MI,Assicurazioni Generali S.p.A.,vérifié
ENI,Borsa Italiana,ENI.MI,Eni S.p.A.,vérifié
RMS,Nyse Euronext - Euronext Paris,RMS.PA,Hermès International Société en commandite par actions,vérifié
STAN,London Stock Exchange,STAN.L,Standard Chartered PLC,vérifié
NOKIA,Nasdaq Omx Helsinki Ltd.,NOKIA.HE,Nokia Oyj,vérifié
BAYN,Xetra,BAYN.DE,Bayer Aktiengesellschaft,vérifié
CPG,London Stock Exchange,CPG.L,Compass Group PLC,vérifié
RHM,Xetra,RHM.DE,Rheinmetall AG,vérifié
VOLV B,Nasdaq Omx Nordic,VOLV-B.ST,AB Volvo (publ),vérifié
ENGI,Nyse Euronext - Euronext Paris,ENGI.PA,Engie SA,vérifié
BAS,Xetra,BAS.DE,BASF SE,vérifié
CABK,Bolsa De Madrid,CABK.MC,"CaixaBank, S.A.",vérifié
LSEG,London Stock Exchange,LSEG.L,London Stock Exchange Group plc,vérifié
EL,Nyse Euronext - Euronext Paris,EL.PA,EssilorLuxottica Société anonyme,vérifié
PRX,Euronext Amsterdam,PRX.AS,Prosus N.V.,vérifié
ATCO A,Nasdaq Omx Nordic,ATCO-A.ST,Atlas Copco AB (publ),vérifié
SREN,SIX Swiss Exchange,SREN.SW,Swiss Re AG,vérifié
RACE,Borsa Italiana,RACE.MI,Ferrari N.V.,vérifié
DGE,London Stock Exchange,DGE.L,Diageo plc,vérifié
LONN,SIX Swiss Exchange,LONN.SW,Lonza Group AG,vérifié
EOAN,Xetra,EOAN.DE,E.ON SE,vérifié
BN,Nyse Euronext - Euronext Paris,BN.PA,Danone S.A.,vérifié
HOLN,SIX Swiss Exchange,HOLN.SW,Holcim AG,vérifié
RWE,Xetra,RWE.DE,RWE Aktiengesellschaft,vérifié
RKT,London Stock Exchange,RKT.L,Reckitt Benckiser Group plc,vérifié
ASM,Euronext Amsterdam,ASM.AS,ASM International NV,vérifié
